Zkoušející,Rok,Obor,Oborová,Předmět,Otázka,,
Kroha Petr,ZS 2015,SI,Ne,PA2,"Vysvětlit koncept OOP, co je zapouzdřenost + výhody, co je dědičnost + výhody, co je virtuální (abstraktní) metoda a abstraktní třída + použití. ",,
Richtr,LS 2021,WSI-SI,Ano,PA2,"Šablony funkcí a tříd v C++, knihovna STL, iterátor, komparátor. Zaměřte se na knihovnu STL. Jaké obsahuje třídy a funkce, jaký je rozdíl mezi lambda funkcí a funktorem, uveďte příklady použití.",,
Richtr,LS 2021,WSI-SI,Ano,PA2,"popsat krátce STL a zaměřit se na set, vector, dequeue - rozdíly, podrobnosti, využití, složitost operací",,
Richtr Radek,LS 2019,WSI-SI,Ano,PA2,"STL, template a ruzne kolekce",,
Richtr Radek,LS 2021,WSI-SI,Ano,PA2,"Šablony funkcí a tříd v C++, knihovna STL, iterátor, komparátor. Zaměřte se na knihovnu STL. Jaké obsahuje třídy a funkce, jaký je rozdíl mezi lambda funkcí a funktorem, uveďte příklady použití.",,
Jan Trávníček,LS 2020,WSI-WI,Ne,PA2,"Objektově orientovaného programování v C++, zapouzdření, dědičnost, atributy a metody, statické atributy a metody, virtuální metody, polymorfismus, abstraktní třídy, výjimky, šablony, přetěžování operátorů, mělká a hluboká kopie.",,
Josef Vogel,LS 2022,ZI,Ne,PA2,"Abstraktní datový typ, jeho specifikace a implementace. Zásobník, fronta, pole, seznam, tabulka, množina. Implementace pomocí pole, spojových struktur a stromů.",,
Kokeš Josef,LS 2017,,Ne,PA2,"Abstraktní datový typ, jeho specifikace a implementace. Zásobník, fronta, pole, seznam, tabulka, množina. Implementace pomocí spojových struktur, stromů a pole. ",,
Schmidt jan,LS 2021,ZI,Ne,PAA,"Experimentální vyhodnocení algoritmů, zejména randomizovaných. Zaměřte se na black-box testování",,
Chludil Jiří,LS 2019,WSI-PG,Ano,PGA,Aplikace Fourierovy transformace na 2D rastrový obraz a možnosti jeho využití v praxi. ,,
Chludil Jiří,LS 2019,WSI-PG,Ano,PGA,Metody rozšiřování grafických aplikací (ty 4 způsoby) + se doptal na nějaké základní věci k tématu,,
Chludil Jiří,LS 2020,WSI-PG,Ano,PGA,"Textury – definice a vlastnosti, dynamické a procedurální textury a kolik mají dimenzí, textura vs. materiál a jejich možné kombinace. Syntéza textur.",,
Richtr,LS 2020,WSI-PG,Ano,PGA,Řešení viditelnosti – algoritmy a jejich souvislosti s BRDF. Raytracing.,,
Richtr,LS 2021,WSI-PG,Ano,PGA,"Textury – definice a vlastnosti, mapování a techniky zobrazování textur, použití v OpenGL, porovnání použití textury, materiálu a jejich možné kombinace. Multitexturování.",,
Richtr,LS 2022,WSI-PG,Ano,PGA,"Textury – definice a vlastnosti. Dimenzionalita. Reprezentace 3D těles ve scéně. Fyzikalni jevy ktere se resi na povrchu telesa a jak je resime v PG. - Stacilo napsat neco o definici textury, BTF, BRDF, pak takovy ty reprezentace teles jako je hranicni, objemova a CSG a nasledne co se resi za jevy, takze odraz svetla, refrakce, bump mapy, parallaxy, normal map, displacement map atd. Bylo to vse a na nic vic se nevyptaval.",,
Bařinka Lukáš,LS 2015,WM,Ano,PGR,"Textury, definování textury, využití textur, ovlivňování materiálu pomocí textury ",,
Bařinka Lukáš ,LS 2018,WM,Ano,PGR,"Textury, definování textury, využití textur, ovlivňování materiálu pomocí textury ",,
Felkel Petr,LS 2016,WM,Ano,PGR,"Popis co jse Phonguv osvetlovaci model, popis jednotlivy slozky a uved postup jak se pocitaji. Co je za vstupy/vystupy FS a VS pri vypoctu svetla per vertex, resp. per fragmet? ",,
Chludil Jiří,LS 2015,WM,Ano,PGR,"Reprezentace 3D těles (hraniční, objemová, CSG) - příklady, použití, výhody a nevýhody, (možná ještě něco, ale zas nic divnýho). ",,
Chludil Jiří,LS 2015,WM,Ano,PGR,Stínovací modely ,,
Chludil Jiří,LS 2015,WM,Ano,PGR,"Reprazentace modelů ve 3D (povrchová, objemová, CSG) ",,
Petr Klán,LS 2020,WSI-PG,Ano,PGR,"Definujte kvaterniony, jejich vlastnosti a rotace kolem jednotlivých os.",,
Petr Pauš,LS 2020,WSI-PG,Ano,PGR,"Definujte základní prostorové operace ( posun, rotace, atd.). Napište matici pro škálování objektu.",,
Holub Jan,LS 2015,TI,Ano,PJP,Preklad riadeny LL1 syntaktickym analyzatorom ,,
Janoušek,LS 2020,TI,Ano,PJP,"Prostředky pro specifikaci syntaxí řízeného překladu – překladové gramatiky, atributové gramatiky, atributové překladové gramatiky. LL-atributové překladové gramatiky, programová realizace rekurzívním sestupem s parametry.",,
Trávníček,LS 2021,TI,Ano,PJP,"Prostředky pro specifikaci syntaxí řízeného překladu – překladové gramatiky, atributové gramatiky, atributové překladové gramatiky. LL-atributové překladové gramatiky, programová realizace rekurzívním sestupem s parametry.",,
Janoušek Jan,LS 2017,,Ano,PJP,"Syntaktický analyzátor shora dolů, bezkontextové gramatiky, zásobníkové automaty, vztah mezi nimi. LL(1) gramatiky, transformace gramatik ",,
Janoušek Jan,LS 2017,,Ano,PJP,"Prostředky pro specifikaci syntaxí řízeného překladu - překladové gramatiky, atributové gramatiky, atributové překladové gramatiky. LL-atributové překladové gramatiky ",,
Novotný Martin,LS 2015,PI,Ano,PNO,"Modelování obvodů v jazyce VHDL. Modelování kombinačních a sekvenčních obvodů na RTL úrovni, syntetizovatelný VHDL popis, tvorba testovacího prostředí. ",,
Novotný Martin,LS 2022,PI,Ano,PNO,"Základní pojmy jazyka VHDL (entita, architektura, proces, signál); syntetizovatelný popis kombinační logiky a sekvenčních obvodů v jazyce VHDL.",,
Daněček Jiří,LS 2019,SI,Ano,PPA,Rozdělení paměti při implementaci programovacích jazyků. Aktivační záznamy,,
Daněček Jiří,LS 2022,SI,Ano,PPA,"Funkcionální programování, funkce vyšších řádů, seznamy",,
Daněček Jiří,LS 2022,SI,Ano,PPA,"Aktivační záznamy, implementace volání funkcí",,
Kolář Josef,LS 2018,SI,Ano,PPA,"Logické programování, Prolog: fakta, pravidla, dotazy, způsob vyhodnocení dotazů, unifikace, operátor řezu., + merge v prologu 2 seřazených polí, výsledek stejně seřazené a opačně",,
Suchánek Marek,LS 2022,SI,Ano,PPA,"Co je to Lambda Kalkulus, normální tvar, (lambda)-kombinátor, vyhodnocování výrazů",,
Guth Ondřej,LS 2019,TI,Ano,PPA,"Implementace stavového automatu, lexikální analyzátor",,
Janoušek Jan,LS 2018,TI,Ano,PPA,"Logické programování, Prolog: fakta, pravidla, dotazy, způsob vyhodnocení dotazů, unifikace, operátor řezu. ",,
Scholtzová,LS 2021,TI,Ano,PPA,"Lambda kalkul: definice pojmů, operací, reprezentace čísel",,
Daněček Jiří,LS 2019,WSI-SI,Ano,PPA,"Lambda kalkul - základní pojmy, reprezentace čísel",,
Bařinka Lukáš,LS 2017,,Ano,PRG,"Geometrické transformace ve 3D (modelovací, pohledová, projekční), soustavy souřadnic, homogenní souřadnice. ",,
Bařinka Lukáš,LS 2017,,Ano,PRG,Materiály a textury. ,,
Kučera ??,LS 2015,ISM,Ano,PRP,Smluvní právo. Typy smluv + vytýkání chyb. ,,
Kašpar Jiří,LS 2019,BIT,Ano,PSI,"Protokol TCP: zahájení a ukončení relace, zabezpečení přenosu.",,
Černy,LS 2021,ISM,Ne,PSI,"Otázka byla zaměřena na HUB, Switch, Router - popsat, v čem je rozdíl, na jakých jsou vrstvách, s jaké adresy pracuji a co se mění během přenosu. Jak funguje přepínání a popsat učení přepínače. Napsat nějaký algoritmus (nepamatuji si název - nějaké tree, to jsem ani nenapsal a vůbec nevěděl o co se jedna).",,
Černý Viktor,LS 2015,ISM,Ne,PSI,"Sdílená média - řízení přístupu, na jaké vrstvě se to děje, na jaké vrstě kódování a další rozepsané podrobnosti ",,
Černý Viktor,LS 2016,ISM,Ne,PSI,"Popište funkci síťových prvků hub, switch, router a jejich vztah k modelu ISO/OSI (jinými slovy) ",,
Černý Viktor,LS 2019,ISM,Ne,PSI,"Popište protokoly IPv4, IPv6, TCP, UDP a uveďte jejich výhody, nevýhody a použití. Přiřadte k protokolům vrstvy ISO-OSI modelu a ty na stejných vrstvách vzájemně porovnejte a uveďte společné prvky",,
Kašpar Jiří,LS 2016,IT,Ano,PSI,"Protokol TCP: zahájení a ukončení relace, zabezpečení přenosu. (plus příklad komunikace) ",,
Smítka Jiří,LS 2015,IT,Ano,PSI,"DNS - Hlavné myšlienky, komunikačný protokol, druhy DNS servrov",,
Smítka Jiří,LS 2015,IT,Ano,PSI,Protokol SNMP a RMON. Jejich porovnání. ,,
Buček Jiří,LS 2015,SI,Ne,PSI,"Sieťové prvky: Switch a Router. Sieťová vrstva - vlastnosti, popis… Adresácia. ",,
Černý Viktor,LS 2016,SI,Ne,PSI,"Princip a využití NAT - jaké jsou typy, na jaké je vrsvě/vrstvách, jaké položky v paketech mění. Vysvětlete pojmy Maškaráda a Port Forwarding a uveďte příklady ",,
Kubalík Pavel,LS 2019,SI,Ne,PSI,ISO/OSI a TCP/IP model. Protokoly linkové vrstvy. Potvrzovací metody. Přepínání vs. směrování. Ke každé vrstvě příklad síťového prvku. Příklad jednoduché sítě. ,,
Smotlacha Vladimír,LS 2015,SI,Ne,PSI,"ISO/OSI a TCP/IP model. Linková vrstva, přenos paketů. Řízení přístupu k médiu. ",,
Smotlacha Vladimír,LS 2015,SI,Ne,PSI,"Protokoly TCP/IP, IPv4, IPv6, TCP, UDP, Aplikačné protokoly, Transportná vrstva. ",,
Švéda Miroslav,LS 2015,SI,Ne,PSI,"Počítačové sítě : Modely ISO/OSI a TCP/IP, metody přístupu ke sdílenému médiu, protokoly linkové vrstvy ",,
Švéda Miroslav,LS 2015,SI,Ne,PSI,"TCP/IP (IPv4, IPv6, TCP, UDP, aplikační protokoly) Řízení toku dat v TCP (Vegas, Reno, Tahoe) ",,
Černý Viktor,LS 2015,TI,Ne,PSI,"Síťová bezpečnost: Digitální podpis, certifikát a distribuce klíčů pro šifrování ",,
Smítka Jiří,LS 2015,TI,Ne,PSI,"DNS systém, co to je, jak funguje, jaké typy DNS serverů existují, jaké jsou strategie řešení DNS dotazů atd. ",,
Fornůsek,LS 2022,WI,Ne,PSI,ISO/OSI a TCP/IP model. Protokoly linkové vrstvy. Přepínání a směrování. Principy fungování propojovacích síťových prvků. - Zaměření na přepínání a směrování,,
Vondra Tomáš,LS 2022,WI,Ne,PSI,"Protokolová rodina TCP/IP (IPv4, IPv6, TCP, UDP, aplikační protokoly). Řízení datového toku. Princip a využití NAT. Systém DNS (celá)",,
Kubalík Pavel,LS 2015,WM,Ne,PSI,"Komunikace v TCP/IP - IPv4 (adresace, subnety, supernety, překlad adres) Uveďte příklad rozdělení sítě a použítí masky. ",,
Kubalík Pavel ,LS 2018,WM,Ne,PSI,ISO/OSI a TCP/IP - popsat vrstvy + ke každé příklad síťového prvku. Příklad jednoduché sítě. ,,
Černý Viktor,LS 2019,WSI,Ne,PSI,"DNS (servery, způsob dotazování, autoritativní vs. neautoritativní). Řízení datového toku. Řízení datového toku pro TCP.",,
Fesl,LS 2021,WSI-PG,Ne,PSI,ISO/OSI a TCP/IP model. Protokoly linkové vrstvy. Přepínání a směrování. Principy fungování propojovacích síťových prvků.,,
Černý Viktor,LS 2020,WSI-SI,Ne,PSI,"Popište protokoly IPv4, IPv6, TCP, UDP a uveďte jejich výhody, nevýhody, použití, proč se zavedly. Přiřadte k protokolům vrstvy ISO-OSI modelu a ty na stejných vrstvách vzájemně porovnejte a uveďte společné prvky. Síťové prvky a jak modifikují data v hlavičkách.",,
Kašpar,LS 2020,WSI-SI,Ne,PSI,"Protokolová rodina TCP/IP (IPv4, IPv6, TCP, UDP, aplikační protokoly). Řízení datového toku. Princip a využití NAT. Systém DNS.",,
Černý,LS 2021,WSI-WI,Ne,PSI,"Protokolová rodina TCP/IP (IPv4, IPv6, TCP, UDP, aplikační protokoly).",,
Černý Viktor,ZS 2019,WSI-WI,Ano,PSI,"Protokol TCP: zahájení a ukončení relace, zabezpečení přenosu.",,
Pauš,LS 2020,WSI-WI,Ano,PSI,"Protokol TCP, zaměřit se na navázání a ukončení komunikace",,
Kokeš,LS 2021,ZI,Ne,PSI,"Protokolová rodina TCP/IP (IPv4, IPv6, TCP, UDP, aplikační protokoly). Řízení datového toku. Princip a využití NAT. Systém DNS.",,
Trdlička,LS 2020,ZI,Ne,PSI,"DNS - princip, popis, DNSSEC",,
Černý Viktor,LS 2017,,Ne,PSI,Přepínání a směrování.,,
Černý Viktor,ZS 2017,,Ne,PSI,"Hub, switch, router + jejich rozdělení do ISO/OSI vrstev, popsat jaké vytváření modifikace ",,
Vagner Ladislav,LS 2020,,Ne,PSI,"IPv4, IPv6, UDP, TCP, jak funguje DNS (DNSSEC), aplikační protokoly",,
Dedecius,LS 2020,BIT,Ne,PST,"Intervalové odhady, druhy, použití, v čem se liší od bodových odhadů. Bez většího popisu uveďte v čem se používají v testování statistických hypotéz",,
Dedecius Kamil,LS 2019,ISM,Ne,PST,", Náhodné veličiny, příklady rozdělení, distribuční funkce, hustota, momenty.",,
Petr Ivo,LS 2016,ISM,Ne,PST,"Intervalové odhady pro střední hodnotu, konfidenční interal, testování statistických hypotéz o střední hodnotě, vhodné zvolení nulové hypotezy (uvést příklad) ",,
Kupsa Michal,LS 2016,IT,Ne,PST,"Pravidla pro výpočty pravděpodobností, Bayesův vzorec. Náhodné veličiny, příklady rozdělení, distribuční funkce, hustota, momenty. Nezávislost náhodných jevů a veličin. Centrální limitní věta, zákony velkých čísel. (Zaměřit se na náhodné veličiny, příklady rozdělení, distribuční funkce, hustota, momenty) ",,
Vašata Daniel,LS 2015,IT,Ne,PST,"Náhodně vektory. Sdružené dist. fce, hustoty, marginální rozdělení a jak se k nim dojde, závislost a nezávislost, kovariance. Uveďte příklad zánislých a nezávislých náhodných veličin. ",,
Blažek Zdeněk,LS 2016,SI,Ne,PST,Intervalové odhady střední hodnoty ,,
Kupsa Michal,LS 2015,SI,Ne,PST,Definice a význam nezávislosti dvou veličin. Kovariance a nekorelovanost. Vztah nezávislosti a nekorelovanosti. Uvěst příklady. ,,
Kordík Pavel,LS 2016,TI,Ano,PST,0,,
Kupsa Michal,ZS 2015,TI,Ne,PST,"Napsat definici nezávislosti náhodných veličin X a Y. Napsat příklad závislých a nezávislých veličin tak, aby se to dalo podle definici dobře ověřit ",,
Štampach František,LS 2015,TI,Ne,PST,"Definujte nahodnu velicinu, hustotu, distribucnu funkciu, strednu hodnotu, rozptyl a uvedte priklady rozdeleni (napr Poissonovo,..) ",,
Kamil Dedecius,ZS 2020,WI,Ne,PST,"Základy statistické indukce, náhodný výběr, bodové odhady pro střední hodnotu a rozptyl, intervalové odhady pro střední hodnotu, testování statistických hypotéz o střední hodnotě. - Upřesnění: Definujte náhodnou výběr a jeho realizaci. Co jsou to bodové odhady a jaké známe? Co je to empirická distribuční funkce? Definujte nestrannost a konzistentost bodového odhadu.",,
Vašata Daniel,LS 2016,WM,Ne,PST,PST,,
Klán Petr,ZS 2019,WSI,Ne,PST,"Zaměřte se na výpočet pravděpodobnosti, Bayesův vzorec, apriorní a aposteriozní pravděpodobnost, odvoďte jak souvisí P(A|B) a P(B|A), uveďte příklad počítaný Bayesovým vzorcem",,
Dedecius,LS 2021,WSI-PG,Ne,PST,"Distribucni funkce, hustota, momenty, nahodna velicina (jeji transformace), priklady rozdeleni",,
Dedecius,LS 2021,WSI-PG,Ne,PST,"Základy statistické indukce, náhodný výběr, bodové odhady pro střední hodnotu a rozptyl, intervalové odhady pro střední hodnotu, testování statistických hypotéz o střední hodnotě.",,
Spěvák Jan,LS 2019,ZI,Ne,PST,Centrální limitní věta,,
Buček Jiří,LS 2015,ISM,Ano,PWT,"HTTP požadavek, jeho struktura a struktura odpovědi, a pár dalších otázek pro HTTP komunikaci ",,
Buček Jiří,LS 2015,ISM,Ne,SAP,Instrukce a adresní módy. ,,
Kubalík Pavel,LS 2015,ISM,Ne,SAP,Logické funkce a formy jejich zápisu. Srovnejte jednotlivé způsoby. Uveďte příklady a popiště využití při tvorbě HW. ,,
Kubátová,LS 2023,ISM,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.
Zúžení: Kromě teorie chtěli realizaci 4bitové sčítačky/odčítačky v doplňkovém kódu s detekcí overflow - Pak chtěla vysvětlit jak by vypadala sčítačka/odčítačka pro Přímý kód oproti Doplňkovému",,
Skrbek Miroslav,LS 2016,ISM,Ne,SAP,"Základní struktura a architektura číslicového počítače, instrukční cyklus počítače, funkce hlavních jednotek, základní třídy souborů instrukcí (ISA). Strojové instrukce, jejich struktura, adresní módy. Kódy pro zobrazení čísel se znaménkem (přímý, doplňkový, aditivní). Reprezentace čísel v pevné a pohyblivé řádové čárce. Zaměřte se na: Základní třídy souborů instrukcí (ISA). Strojové instrukce, jejich struktura, adresní módy. ",,
Kubátová Hana,LS 2022,PI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.
Zúžení: Kromě teorie chtěli realizaci 4bitové sčítačky v doplňkovém kódu s detekcí overflow a aritmetický posuv vlevo o dvě místa v přímém kódu a s detekcí overflow.",,
Borecký Jaroslav,LS 2019,SI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.",,
Buček Jiří,LS 2015,SI,Ne,SAP,"Vyrovnávací pamět cache, princip, použití ",,
Buček Jiří,LS 2015,SI,Ne,SAP,"Kódování instrukcí, způsoby uložení instrukce v paměti, adresní módy. ",,
Dobiáš Radek,LS 2016,SI,Ne,SAP,"Logické obvody kombinační a sekvenční. Způsoby jejich popisu a možnosti implementace. Minimalizace vyjádření logické funkce (s využitím map). Implementace na úrovni hradel. — Upřesnění: Logické funkce, minimalizace pomocí mapy, DNT a KNT - vymyslete netriviální fci 4 proměnných a proveďte výše uvedené + nakreslete zapojení pomocí hradel. Slovo „sekvenční“ v původní otázce bylo v škrtnuté. ",,
Douša Jiří,LS 2016,SI,Ne,SAP,"Kombinační a sekvenční obvody používané v číslicových počítačích, jejich návrh a realizace (sčítačka, registr, obvody pro posuv, řadič). ",,
Kubalík Pavel ,LS 2018,SI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.        ",,
Růžička Jakub,LS 2015,SI,Ne,SAP,"Adresování (uvést příklady), stránkování, reprezentace čísla se znaménkem ",,
Růžička Jakub,LS 2015,SI,Ne,SAP,"Hierarchie paměti, jak funguje cache, algoritmy nahrazování bloků v cache, typy zápisu do cache ",,
Martin Daňhel,ZS 2020,"SI
",Ne,SAP,"Kombinační logické obvody, popis a možnosti implementace na úrovni hradel. Minimalizace vyjádření logické funkce (s využitím map).",,
Fišer Petr,LS 2016,TI,Ne,SAP,Logické obvody kombinační a sekvenční. Způsoby jejich popisu a možnosti implementace. Minimalizace vyjádření logické funkce (s využitím map). Implementace na úrovni hradel. ,,
Kohlík Martin,LS 2016,TI,Ne ,SAP,"Základní struktura a architektura číslicového počítače, instrukční cyklus počítače, funkce hlavních jednotek, základní třídy souborů instrukcí (ISA). Strojové instrukce, jejich struktura, adresní módy. ",,
Kubalík Pavel,LS 2016,TI,Ne,SAP,"Kombinační a sekvenční obvody používané v číslicových počítačích, jejich návrh a realizace (sčítačka, registr, obvody pro posuv, řadič). Udejte pár základních příkladů. ",,
Šimeček Ivan,LS 2016,TI,Ne,SAP,"Paměťový subsystém počítače. Paměťová hierarchie, důvody jejího použití, typy paměti používaných na jednotlivých úrovních. Možnosti realizace rychlé vyrovnávací paměti (asociativní paměť, cache). ",,
Štěpanovský Michal,LS 2019,TI,Ne,SAP,"Kombinační a sekvenční logické obvody (Mealy, Moore), popis a možnosti implementace na úrovni hradel.",,
Kubalík Pavel,LS 2015,WM,Ne,SAP,"Popíšte metódy minimalízace logickeho vyrazu, uvedte príklad kazdej metody a berte ohlad na využitie pri HW implementácii (alebo tak nejak) ",,
Novotný Martin,LS 2016,WM,Ne,SAP,"Logické obvody kombinační a sekvenční. Způsoby jejich popisu a možnosti implementace. Minimalizace vyjádření logické funkce (s využitím map). Implementace na úrovni hradel. (+ zadán příklad na ukázání minimalizace na jednoduchém logickém výrazu s 3 vstupními proměnnými, který bylo nutno zapsat tabulkou, minimalizovat mapou a pak implementovat na úrovni hradel) ",,
Novotný Martin,LS 2016,WM,Ne,SAP,"Kombinační a sekvenční obvody používané v číslicových počítačích, jejich návrh a realizace (sčítačka, registr, obvody pro posuv, řadič). ",,
Šoch Michal,LS 2016,WM,Ne,SAP,"Paměťový subsystém počítače. Paměťová hierarchie, důvody jejího použití, typy paměti používaných na jednotlivých úrovních. Možnosti realizace rychlé vyrovnávací paměti (asociativní paměť, cache). ",,
Martin Daňhel,LS 2020,WSI-SI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce. - Zaměřte se pouze na kódy pro zobrazení čísel",,
Martin Daňhel,LS 2020,WSI-SI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce. - Zaměřte se na kódy pro zobrazení čísel se znaménkem a ukažte jak byste v jednotlivých reprezentacích vyjádřil číslo -4 ve 4 bitech.",,
Martin Daňhel,LS 2020,WSI-SI,Ne,SAP,"Architektura číslicového počítače, instrukční cyklus počítače, základní třídy souborů instrukcí (ISA). Paměťový subsystém počítače, paměťová hierarchie, cache. Zaměřte se pouze na první část otázky, rozdíl mezi Von Neumannovou a Harvardskou architekturou. Popište třídy souboru instrukcí zásobníkovou a středačovou, můžete nakreslit obrázek.",,
Kubalík Pavel,LS 2020,WSI-WI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač).",,
Kubalík Pavel,LS 2020,WSI-WI,Ne,SAP,"Paměťový subsystém počítače. Paměťová hierarchie, důvody jejího použití, typy paměti používaných na jednotlivých úrovních. Cache.",,
Martin Daňhel,LS 2020,WSI-WI,Ne,SAP,"Architektura číslicového počítače, instrukční cyklus počítače, základní třídy souborů instrukcí (ISA). Paměťový subsystém počítače, paměťová hierarchie, cache. Zaměřte se pouze na první část otázky, rozdíl mezi Von Neumannovou a Harvardskou architekturou. Popište třídy souboru instrukcí zásobníkovou a středačovou, můžete nakreslit obrázek.",,
Daňhel,LS 2021,ZI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce. - Zaměřte se na kódy pro zobrazení čísel se znaménkem a ukažte jak byste v jednotlivých reprezentacích vyjádřil číslo -4 ve 4 bitech. Vysvětlete pojmy modul a mantisa.",,
Daňhel Martin,LS 2019,ZI,Ne,SAP,"Popis číslicového počítače, instrukční cyklus, ISA (bez paměťové hierarchie)",,
Dostál,LS 2021,ZI,Ne,SAP,"Architektura číslicového počítače, instrukční cyklus počítače, základní třídy souborů instrukcí (ISA). Paměťový subsystém počítače, paměťová hierarchie, cache. Zaměřte se na: Architektura číslicového počítače, instrukční cyklus počítače, základní třídy souborů instrukcí (ISA)",,
Kohlík,LS 2020,ZI,Ne,SAP,"Architektura číslicového počítače, instrukční cyklus počítače, základní třídy souborů instrukcí (ISA). Paměťový subsystém počítače, paměťová hierarchie, cache.",,
Kubátová,LS 2021,ZI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.",,
Novotný Martin,ZS 2020,ZI,Ne,SAP,"Kombinační a sekvenční logické obvody (Mealy, Moore), popis a možnosti implementace na úrovni hradel, minimalizace s využitím map",,
Olšák,LS 2020,ZI,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem a realizace aritmetických operací (paralelní sčítačka/odčítačka, realizace aritmetických posuvů, dekodér, multiplexor, čítač). Reprezentace čísel v pohyblivé řádové čárce.",,
Daněček Jiří,LS 2017,,Ne,SAP,"Strojové instrukce, jejich struktura, adresní módy ",,
Daňhel Martin,LS 2019,,Ne,SAP,"Kombinační a sekvenční logické obvody (Mealy, Moore), popis a možnosti implementace na úrovni hradel. Minimalizace vyjádření logické funkce (s využitím map)",,
Dobiáš Radek,LS 2017,,Ne,SAP,"Sekvenční obvody, schéma sekv. obv. (SSO), jejich návrh a možnosti implementace, různé typy automatů a rozdíly mezi nimi, návrh jednoho netriviálního sekvenčního obvodu (např. M5 čítač se vstupem E(enable)). ",,
Douša Jiří,LS 2017,,Ne,SAP,"Sekvenční obdoby, způsoby popisu a implementace.",,
Fišer Petr,LS 2017,,Ne,SAP,"Kódy pro zobrazení čísel se znaménkem (přímý, doplňkový, aditivní). Reprezentace čísel v pevné a pohyblivé řádové čárce. Ukažte na příkladech. ",,
Daněček,LS 2021,BIT,Ne,SI1,"Analytický doménový model tříd, UML diagram tříd",,
Náplava Pavel,LS 2019,ISM,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit).",,
Richtr,ZS 2023,ISM,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit). - Zaměřte se na UML diagram aktivit business procesů. Jeho význam, použití, koncepty a komponenty.",,
Zahradnický Tomáš,ZS 2015,IT,Ano,SI1,"Testování - jednotkové testy, testy komponent, integrační testy, systémové testy, black-box, white-box. Statický analýza kódu. Co je jejím výstupem a jak se zavádí do životního cyklu SW díla. ",,
Buchtela David,ZS 2015,SI,Ano,SI1,"Modelování ve fázi sběru požadavků, analýzy problémové domény. ",,
Mlejnek Jiří,LS 2015,SI,Ano,SI1,"Projektové řízení, projektový plán, WBS, odhady, měření ",,
Mlejnek Jiří,LS 2016,SI,Ano,SI1,"Rozdělování zodpovědnosti mezi třídy. GRASP vzory (vysoká soudružnost, nízká provázanost) ",,
Mlejnek Jiří,LS 2018,SI,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit).",,
Mlejnek Jiří,LS 2019,SI,Ano,SI1,"Klasické a agilní metodiky vývoje software (základní principy, vhodnost použití, řešené problémy). Základní popis metodik Unified Process (UP), Extrémní programování (XP) a SCRUM. Zaměřte se na agilní metodiky a SCRUM.",,
Mlejnek Jiří,LS 2020,SI,Ano,SI1,"Klasické a agilní metodiky vývoje software (základní principy, vhodnost použití, řešené problémy). Základní popis metodik Unified Process (UP), Extrémní programování (XP) a SCRUM.",,
Mlejnek Jiří,LS 2020,SI,Ano,SI1,"Klasické a agilní metodiky vývoje software (základní principy, vhodnost použití, řešené problémy). Základní popis metodik Unified Process (UP), Extrémní programování (XP) a SCRUM. ",,
Mlejnek Jiří,ZS 2020,SI,Ano,SI1,"Analýza a správa požadavků (cíle, kategorizace, UML diagram případů užití, scénáře případů užití, UML diagram aktivit)",,
